Acute Myeloid Leukemia (AML),PHQGHUMEAYLNLFDXFIRCVS
Adolescents,CXGGBWKFNQDUXWFNFOZVSR
AIDS-Related Lymphoma (Lymphoma),DPOOEFXZBCOEJUVPVABOYG     
Primary CNS Lymphoma (Lymphoma),POEYLFPBNPLJVRVIPYAMYE      
Anal Cancer,HWQNQRQPMXUJJLOOVAOWUX
Astrocytomas,LYJYHFIXJSWNKKUFNUXXZR
Atypical Teratoid/Rhabdoid Tumor,ZBMNMGQOOKETLYHNKOAUGZ     
Bladder Cancer,KDCPWSRTESJWHDIZCOBZCN
Bone Cancer,FWLQIJTVDWVXHRCBLDVGYL
Brain Tumors,WGBUSBMBORXTLHCSMPXOHG
Breast Cancer,MGNKEUFDXOTOGBGXPEYANF
Bronchial Tumors (Lung Cancer),ETCUKEPZSHKLJUGGGEKJDQ       
Carcinoid Tumor (Gastrointestinal),JLLCHHBFQMKIMWZOBIWYBX   
Carcinoma of Unknown Primary,DUUNFSKSRSRTEKMQDCYZJE
Atypical Teratoid/Rhabdoid Tumor,PSZRNAVYMMTATBDZQSOEMU     
Germ Cell Tumor,GRPUNKDMBPPWEQTGJOPARM
Cervical Cancer,JBXPHOOHPKWQYUHRQZHNBN
Childhood Cancers,FUVQNQQLRZJPXIOGVLIEXD
Childhood Cardiac Tumors Treatment,ZUZOSRKRUSVOJBRZMWZPOW   
Cancers of Childhood,KJILEFRAAMDIGPNPUUHGXP
Cholangiocarcinoma - see Bile Duct Cancer,QNJWJMWAXXMNSNHHLQQRZU
Chordoma,DLTFZOTCJTNZXUGLSDSMZC
Chronic Lymphocytic Leukemia (CLL),NOCKVFAJFRMXOTHOWKBJZW   
Chronic Myelogenous Leukemia (CML),UCWLJFRIMPMYHCHZRIWKBA   
Chronic Myeloproliferative Neoplasms,RXBGFCBCEYHJUGIXWTBVTR 
Colorectal Cancer,EHBBCPXIFBXVFBCGKCFQCK
Craniopharyngioma,COTZGKUBMJRMBSZTSSHFRO
Cutaneous T-Cell Lymphoma ,EFWSJRXJHGUZYUPZWWEIQU
Ductal Carcinoma In Situ (DCIS) - see Breast Cancer,RPIXIQFLDUUVEOOWQCUDHN
Embryonal Tumors,EFNJHAIMUCZFSKUIDUBURI
Endometrial Cancer (Uterine Cancer),SWTBRECUYKABFCVKDZEZTO  
Ependymoma,IDUKUHJZEFCZZZBFKQDPQZ
Esophageal Cancer,IKFOBUCDHTHXDJGKJELRLP
Esthesioneuroblastoma (Head and Neck Cancer),AXAMCEROSWITDPTPCCLIFK
Ewing Sarcoma (Bone Cancer),ELJYTIHRCQAYBNEFXNXVGZ
Extracranial Germ Cell Tumor,EDYYHNGYCDRUDMPHMECKOT
Extragonadal Germ Cell Tumor,RWOSPOFGHFOZQVLQFXWWKM
Eye Cancer,FXDYYGMDCASZSGOVSODKJG
Intraocular Melanoma,HCWMBMXRMHUYFYQGAJQKCK
Retinoblastoma,LZNAYXQKQOYZWMYUBZAZCP
Fallopian Tube Cancer,KHKTKYDZIVCUYPURFMBISG
Gallbladder Cancer,EKYRGZVXDHPOAMVAFYRARX
Gastric (Stomach) Cancer,SVKHTQDIHERSIGBHZJZUJX
Gastrointestinal Carcinoid Tumor,MMYSPNARAEWKEGJCCVHHRJ     
